Namn;Popularitet;Trend;Stavelser;Hardhet;Ursprung
Teo;0,07;-9,49%;2;33%;1
Matheo;0,07;28,24%;3;17%;1
Theodore;0,07;12,40%;4;13%;1
Abbe;0,07;14,08%;2;0%;1
Noa;0,07;-2,38%;2;0%;1
Mattias;0,06;-8,97%;3;43%;1
Dexter;0,06;-8,71%;2;33%;1
Elliott;0,06;5,35%;3;29%;1
Jason;0,06;16,65%;2;20%;1
James;0,06;8,81%;2;20%;1
Jonas;0,06;-10,38%;2;20%;1
Dennis;0,06;-19,67%;2;17%;1
Rayan;0,06;15,80%;3;0%;1
Aaron;0,06;12,07%;3;0%;1
Lionel;0,06;10,73%;3;0%;1
Leonard;0,06;5,49%;3;0%;1
Ivan;0,06;-0,38%;2;0%;1
Otis;0,05;16,07%;2;50%;1
Winston;0,05;12,72%;2;43%;1
Matteus;0,05;8,14%;3;43%;1
Isaac;0,05;7,39%;3;40%;1
Wilton;0,05;14,26%;2;33%;1
Tom;0,05;0,27%;1;33%;1
Bastian;0,05;4,30%;3;29%;1
Nicolas;0,05;15,62%;3;29%;1
Alwin;0,05;-4,39%;2;20%;1
Elvis;0,05;-11,63%;2;20%;1
Lennox;0,05;24,67%;2;17%;1
Arthur;0,05;10,30%;2;17%;1
Morris;0,05;-4,23%;2;17%;1
Bill;0,05;17,46%;1;0%;1
Billy;0,05;8,78%;2;0%;1
Allan;0,05;12,80%;2;0%;1
Dylan;0,05;11,18%;2;0%;1
Edvard;0,05;-2,75%;2;0%;1
Seth;0,04;12,43%;1;50%;1
Silas;0,04;-7,81%;2;40%;1
Nicholas;0,04;20,59%;3;25%;1
Enzo;0,04;9,12%;2;25%;1
Sami;0,04;7,05%;2;25%;1
Mateo;0,04;20,78%;3;20%;1
Collin;0,04;24,30%;2;17%;1
Sander;0,04;2,65%;2;17%;1
Amadeus;0,04;12,15%;4;14%;1
Bruno;0,04;-5,48%;2;0%;1
Abdirahman;0,04;13,13%;4;0%;1
Lion;0,04;21,28%;2;0%;1
Milan;0,04;19,44%;2;0%;1
Edgar;0,04;6,37%;2;0%;1
Leonardo;0,04;3,25%;4;0%;1
Joar;0,04;1,82%;2;0%;1
Zack;0,03;-6,48%;1;75%;1
Texas;0,03;-8,11%;2;60%;1
Zackarias;0,03;-6,39%;4;44%;1
Rufus;0,03;-9,73%;2;40%;1
Hector;0,03;1,59%;2;33%;1
Joseph;0,03;7,56%;2;33%;1
Zacharias;0,03;-8,46%;4;33%;1
Charles;0,03;14,73%;2;29%;1
Zakaria;0,03;1,48%;4;29%;1
Maximus;0,03;-2,90%;3;29%;1
Ralf;0,03;24,72%;1;25%;1
Troy;0,03;-12,04%;2;25%;1
Léon;0,03;5,28%;1;25%;1
Ebbot;0,03;18,87%;2;20%;1
Elwin;0,03;7,37%;2;20%;1
André;0,03;-17,60%;1;20%;1
Marcel;0,03;17,50%;2;17%;1
Nathan;0,03;9,51%;2;17%;1
Rafael;0,03;6,04%;3;17%;1
Joshua;0,03;0,71%;3;17%;1
Dominic;0,03;10,28%;3;14%;1
Michael;0,03;3,52%;3;14%;1
Malcolm;0,03;3,46%;2;14%;1
Anthony;0,03;0,88%;3;14%;1
Antonio;0,03;-6,95%;4;14%;1
Valentin;0,03;6,26%;3;13%;1
Leonel;0,03;15,31%;3;0%;1
Ben;0,03;14,92%;1;0%;1
Eli;0,03;18,95%;2;0%;1
Ryan;0,03;11,01%;2;0%;1
Arvin;0,03;10,37%;2;0%;1
Manne;0,03;5,96%;2;0%;1
Angelo;0,03;0,24%;3;0%;1
Scott;0,02;3,92%;1;80%;1
Zeke;0,02;1,19%;2;50%;1
Wincent;0,02;3,70%;2;43%;1
Astor;0,02;4,06%;2;40%;1
Peter;0,02;1,57%;2;40%;1
Christopher;0,02;-0,76%;3;36%;1
Lex;0,02;15,94%;1;33%;1
Alexis;0,02;23,70%;3;33%;1
Thomas;0,02;-3,83%;2;33%;1
Justin;0,02;-9,63%;2;33%;1
Matheus;0,02;14,35%;3;29%;1
Mathias;0,02;-6,99%;3;29%;1
Timothy;0,02;-7,23%;3;29%;1
Lias;0,02;13,51%;2;25%;1
Zion;0,02;12,05%;2;25%;1
Taim;0,02;42,09%;2;25%;1
Luca;0,02;5,95%;2;25%;1
Nico;0,02;4,57%;2;25%;1
Paul;0,02;3,88%;2;25%;1
Enes;0,02;-3,05%;2;25%;1
Luka;0,02;-4,00%;2;25%;1
Ralph;0,02;28,46%;1;20%;1
Ellis;0,02;20,63%;2;20%;1
Vince;0,02;18,73%;2;20%;1
Louis;0,02;15,07%;3;20%;1
Eliot;0,02;5,55%;3;20%;1
Nilas;0,02;-3,82%;2;20%;1
Levis;0,02;-6,06%;2;20%;1
Mason;0,02;43,72%;2;20%;1
Dewin;0,02;28,62%;2;20%;1
Lorik;0,02;13,33%;2;20%;1
Aleksander;0,02;7,77%;4;20%;1
Artur;0,02;6,38%;2;20%;1
Kenan;0,02;0,00%;2;20%;1
Emrik;0,02;-13,87%;2;20%;1
Nelson;0,02;16,07%;2;17%;1
Robert;0,02;3,80%;2;17%;1
Gillis;0,02;28,16%;2;17%;1
Kelvin;0,02;3,43%;2;17%;1
Nikola;0,02;-3,52%;3;17%;1
Leopold;0,02;3,25%;3;14%;1
Nathaniel;0,02;6,96%;4;11%;1
Nathanael;0,02;2,79%;4;11%;1
Valentino;0,02;1,17%;4;11%;1
Rio;0,02;16,67%;2;0%;1
Elia;0,02;7,95%;3;0%;1
Aiden;0,02;23,70%;3;0%;1
Elion;0,02;10,59%;3;0%;1
Helge;0,02;9,70%;2;0%;1
Elian;0,02;7,17%;3;0%;1
Jonah;0,02;-2,86%;2;0%;1
Elijah;0,02;16,76%;3;0%;1
Miliam;0,02;7,70%;3;0%;1
Marley;0,02;5,16%;3;0%;1
Bob;0,02;19,49%;1;0%;1
Jayden;0,02;21,87%;3;0%;1
Jordan;0,02;19,19%;2;0%;1
Lennon;0,02;16,02%;2;0%;1
Nilo;0,02;14,34%;2;0%;1
Alan;0,02;10,77%;2;0%;1
Leandro;0,02;10,50%;3;0%;1
George;0,02;8,68%;3;0%;1
Arian;0,02;7,00%;3;0%;1
Marlon;0,02;4,76%;2;0%;1
Eliah;0,02;3,76%;3;0%;1
Mario;0,02;2,44%;3;0%;1
Edin;0,02;2,18%;2;0%;1
Romeo;0,02;-0,13%;3;0%;1
Dion;0,02;-4,69%;2;0%;1
Dino;0,02;-7,95%;2;0%;1
Nemo;0,02;-8,03%;2;0%;1
Morgan;0,02;-20,14%;2;0%;1
Kacper;0,01;7,74%;2;50%;1
Nick;0,01;-7,29%;1;50%;1
Tomas;0,01;-4,67%;2;40%;1
Cesar;0,01;-14,71%;2;40%;1
Zakarias;0,01;11,64%;4;38%;1
Sid;0,01;-9,83%;1;33%;1
Jasper;0,01;-4,60%;2;33%;1
Zeb;0,01;-9,48%;1;33%;1
Jax;0,01;41,03%;1;33%;1
Hektor;0,01;3,64%;2;33%;1
Caesar;0,01;-14,29%;3;33%;1
Nikolas;0,01;10,71%;3;29%;1
Luke;0,01;14,10%;2;25%;1
Mark;0,01;10,18%;1;25%;1
León;0,01;-0,90%;1;25%;1
Wilde;0,01;6,61%;2;20%;1
Maxim;0,01;3,76%;2;20%;1
Ethan;0,01;2,70%;2;20%;1
Idris;0,01;21,71%;2;20%;1
Timmy;0,01;-13,77%;2;20%;1
Vilton;0,01;9,62%;2;17%;1
Xander;0,01;0,00%;2;17%;1
Isidor;0,01;-8,57%;3;17%;1
Zander;0,01;-10,00%;2;17%;1
Mikail;0,01;6,61%;3;17%;1
Florian;0,01;12,23%;3;14%;1
Nikolaj;0,01;5,13%;3;14%;1
Leonidas;0,01;16,64%;4;13%;1
Natanael;0,01;-1,90%;4;13%;1
Harley;0,01;17,84%;3;0%;1
Aryan;0,01;13,68%;3;0%;1
Emmanuel;0,01;8,60%;4;0%;1
Villiam;0,01;8,00%;3;0%;1
Marvin;0,01;5,27%;2;0%;1
Damian;0,01;1,19%;3;0%;1
Damien;0,01;-8,62%;3;0%;1
Danny;0,01;-15,29%;2;0%;1
Ali;0,16;4,49%;2;0%;2
Omar;0,11;21,83%;2;0%;2
Mohamed;0,11;10,67%;3;0%;2
Mohammed;0,1;4,80%;3;0%;2
Ibrahim;0,09;10,62%;3;0%;2
Amir;0,09;13,87%;2;0%;2
Ahmed;0,09;5,55%;2;0%;2
Hamza;0,06;10,15%;2;20%;2
Mohammad;0,06;17,49%;3;0%;2
Mustafa;0,05;-1,80%;3;43%;2
Yusuf;0,05;13,27%;3;40%;2
Yousef;0,05;13,84%;4;33%;2
Hassan;0,05;4,99%;2;33%;2
Anas;0,05;4,44%;2;25%;2
Devin;0,05;-4,48%;2;0%;2
Ahmad;0,05;17,11%;2;0%;2
Emir;0,05;5,48%;2;0%;2
Yosef;0,04;-5,02%;3;40%;2
Hussein;0,04;-2,79%;3;29%;2
Ilyas;0,03;19,44%;3;20%;2
Yasin;0,03;7,30%;3;20%;2
